region,county,product,quantity
East Midlands,East Lindsey,Red pepper,9118656
East Midlands,East Lindsey,fresh whole turkey,9028818
East Midlands,East Lindsey,Almond milk,8969724
East Midlands,East Lindsey,salmon fillets,8969382
East Midlands,East Lindsey,play station 3,8948871
East Midlands,East Lindsey,flapjack,8915643
East Midlands,East Lindsey,rice,8908794
East Midlands,East Lindsey,dell inspiron laptop,8906616
East Midlands,East Lindsey,linen trousers,8897697
East Midlands,East Lindsey,gaming keyboard,8892504
East Midlands,East Lindsey,fine beans,8889642
East Midlands,East Lindsey,Plain Greek yoghurt,8888382
East Midlands,East Lindsey,cod fillets,8881416
East Midlands,East Lindsey,fresh whole chicken,8875026
East Midlands,East Lindsey,british fresh chicken thigh fillets,8871786
East Midlands,East Lindsey,gaming mouse,8863362
Scotland,Falkirk,large king prawns,8853705
East Midlands,East Lindsey,mature cheddar cheese,8851266
East Midlands,East Lindsey,almond croisant,8845488
East Midlands,East Lindsey,Spring onions bunch,8839575
East Midlands,East Lindsey,British baking potatoes loose,8837172
East Midlands,East Lindsey,Onions Loose,8835165
East Midlands,East Lindsey,baby potatoes,8827938
East Midlands,East Lindsey,dyson washing machine,8827533
East Midlands,East Lindsey,aubergine,8811009
East Midlands,East Lindsey,organic raspberry yoghurt,8810802
East Midlands,East Lindsey,olive oil spread,8807661
East Midlands,East Lindsey,Sweet potatoes loose,8805816
East Midlands,East Lindsey,British carrots loose,8801820
East Midlands,East Lindsey,apple macbook pro mid 2009,8800920
East Midlands,East Lindsey,millionaire square,8799534
Scotland,Falkirk,Sweet potatoes loose,8798832
East Midlands,East Lindsey,brenton t-shirt,8797752
East Midlands,East Lindsey,beans,8797536
East Midlands,East Lindsey,pink blazers,8796033
East Midlands,East Lindsey,organic soured cream,8790876
East Midlands,East Lindsey,corned beef,8789616
East Midlands,East Lindsey,apple macbook air mid 2009,8789391
East Midlands,East Lindsey,celery,8784801
East Midlands,East Lindsey,Brocolli loose,8783964
East Midlands,East Lindsey,cheese cake,8783397
East Midlands,East Lindsey,easy peeler loose,8783334
East Midlands,East Lindsey,pokemon blue,8782056
East Midlands,East Lindsey,hp dv 2000 laptop,8780445
Scotland,Falkirk,brenton t-shirt,8779689
East Midlands,East Lindsey,samsung washing machine,8772309
East Midlands,East Lindsey,pokemon gold,8772228
East Midlands,East Lindsey,oxford shoes,8769591
East Midlands,East Lindsey,silk tie,8760519
East Midlands,East Lindsey,unsalted butter,8760222
East Midlands,East Lindsey,chocolate fudge cake,8757711
East Midlands,East Lindsey,corn,8754480
East Midlands,East Lindsey,garlic,8748963
Scotland,Falkirk,Spring onions bunch,8746587
Scotland,Falkirk,corned beef,8745741
East Midlands,East Lindsey,custard doughnut,8743320
East Midlands,East Lindsey,skimmed milk,8742015
East Midlands,East Lindsey,british bramley cooking apples,8741025
East Midlands,East Lindsey,pain au chocolate,8738361
East Midlands,East Lindsey,classic bowtie,8736309
East Midlands,East Lindsey,brenton jumper,8736156
East Midlands,East Lindsey,Slightly salted butter,8735175
Scotland,Falkirk,free range large eggs x12,8733753
East Midlands,East Lindsey,chicken sausages,8732907
East Midlands,East Lindsey,Mixed pepper,8730639
Scotland,Falkirk,x-box 360,8728290
Scotland,Falkirk,garlic,8724024
Scotland,Falkirk,denim jeams,8724015
East Midlands,East Lindsey,halo combat evolved,8722773
East Midlands,East Lindsey,lg washing machine,8721999
East Midlands,East Lindsey,wellington boots,8721126
East Midlands,East Lindsey,beef sausages,8718372
Scotland,Falkirk,cotton tie,8717904
East Midlands,East Lindsey,plastic sunshades,8712945
East Midlands,East Lindsey,dyson tower fan,8712594
East Midlands,East Lindsey,sea bass fillets,8712234
East Midlands,East Lindsey,Fairtrade Bananas Loose,8711271
East Midlands,East Lindsey,gameboy advance,8709093
East Midlands,East Lindsey,british fresh chicken brest fillets,8708310
East Midlands,East Lindsey,mild cheddar cheese,8707005
Scotland,Falkirk,hp dv 3000 laptop,8705223
East Midlands,East Lindsey,jam doughnut,8699940
East Midlands,East Lindsey,linen shirt,8697861
East Midlands,East Lindsey,shortbread,8694504
